left,right,x,y,z
592,308,8,0.456543,-0.026245,-10.176392
593,307,8,0.421753,0.007324,-10.005493
593,307,8,0.425415,-0.022583,-10.286865
594,306,8,0.475464,0.020752,-10.396118
594,306,8,0.418701,-0.020142,-10.450439
595,305,8,0.418701,-0.089722,-10.282593
598,302,8,0.413208,-0.013428,-10.017700
599,301,8,0.371704,-0.043945,-10.126953
601,299,8,0.469971,-0.043335,-10.107422
603,297,8,0.404663,0.060425,-10.181885
602,298,8,0.426636,-0.045166,-10.207520
604,296,8,0.385132,0.030518,-10.178223
604,296,8,0.476074,0.022583,-10.247192
604,296,8,0.379639,0.029907,-10.124512
604,296,8,0.498047,0.064697,-10.248413
602,298,8,0.488281,0.037231,-10.307007
600,300,8,0.539551,0.009155,-10.336914
599,301,8,0.512695,0.010376,-10.399780
598,302,8,0.504150,-0.061035,-10.120850
600,300,8,0.391846,-0.007935,-10.118408
601,299,8,0.432739,-0.014038,-9.926147
602,298,8,0.305786,-0.012207,-10.064087
603,297,8,0.398560,0.036621,-10.100098
603,297,8,0.367432,0.005493,-10.211182
604,296,8,0.357056,0.020142,-10.187988
604,296,8,0.432739,0.101929,-10.050049
601,299,8,0.374756,0.029297,-10.023193
599,301,8,0.422974,0.081177,-10.004272
596,304,8,0.461426,0.070801,-10.122070
593,307,8,0.485229,0.012207,-10.297241
592,308,9,0.424805,0.024414,-10.321655
590,310,9,0.492554,0.029907,-10.367432
588,312,9,0.484619,0.026855,-10.263062
586,314,9,0.502319,-0.004272,-10.197754
585,315,9,0.473633,-0.039673,-10.206299
586,314,9,0.443726,0.040894,-10.192871
585,315,9,0.494995,-0.043335,-10.187378
587,313,9,0.424805,-0.023193,-10.167236
588,312,9,0.453491,0.031128,-10.207520
588,312,9,0.413818,-0.040283,-10.137939
590,310,9,0.474854,0.000610,-10.132446
591,309,9,0.397949,0.015259,-10.140381
592,308,9,0.429688,0.010376,-10.181885
593,307,9,0.447388,0.067749,-10.209351
592,308,9,0.493774,0.038452,-10.206299
591,309,9,0.434570,0.071411,-10.205688
588,312,9,0.483398,0.018921,-10.234985
587,313,9,0.435791,0.002441,-10.216675
586,314,9,0.490112,0.036011,-10.263062
584,316,9,0.372314,-0.010986,-10.166626
584,316,9,0.482788,0.023193,-10.194702
583,317,9,0.399780,-0.002441,-10.274658
583,317,9,0.464478,-0.012207,-10.179443
584,316,9,0.441895,-0.014648,-10.233765
585,315,9,0.473022,-0.025024,-10.192261
586,314,9,0.446777,-0.005493,-10.197144
587,313,9,0.482788,0.010986,-10.190430
588,312,9,0.426025,0.010986,-10.186157
589,311,9,0.433960,0.040894,-10.199585
589,311,9,0.468750,0.021973,-10.139771
589,311,9,0.444946,0.029907,-10.206299
589,311,9,0.433960,0.039673,-10.206909
588,312,9,0.434570,0.011597,-10.180664
588,312,9,0.478516,0.025635,-10.248413
587,313,9,0.443115,0.002441,-10.234375
587,313,9,0.454712,-0.031738,-10.166626
589,311,9,0.446167,0.039673,-10.214844
589,311,9,0.463257,0.068970,-10.217896
587,313,9,0.416870,-0.017090,-10.201416
588,312,9,0.440674,-0.012817,-10.206909
589,311,10,0.438232,-0.001831,-10.249634
590,310,10,0.486450,0.028076,-10.212402
590,310,10,0.484009,0.031738,-10.213013
590,310,10,0.440674,-0.002441,-10.208740
591,309,10,0.432739,0.026245,-10.236816
591,309,10,0.424194,-0.020752,-10.222168
592,308,10,0.451660,-0.008545,-10.268555
593,307,10,0.467529,-0.002441,-10.234985
594,306,10,0.474243,-0.049438,-10.198364
596,304,10,0.392456,0.031738,-10.170898
596,304,10,0.428467,-0.012817,-10.252075
597,303,10,0.496216,0.044556,-10.200806
597,303,10,0.451660,0.029297,-10.174561
597,303,10,0.439453,-0.003052,-10.198364
598,302,10,0.479126,0.032349,-10.217896
598,302,10,0.438232,-0.015259,-10.202026
599,301,10,0.451660,0.009155,-10.234375
600,300,10,0.433960,-0.005493,-10.199585
601,299,10,0.445557,0.014648,-10.200806
602,298,10,0.415649,0.000610,-10.182495
603,297,10,0.458374,0.055542,-10.161133
602,298,10,0.432129,-0.003662,-10.197754
603,297,10,0.438232,0.046997,-10.195923
602,298,10,0.447998,0.000000,-10.213623
603,297,10,0.416260,0.028687,-10.204468
603,297,10,0.491333,-0.020142,-10.173340
604,296,10,0.424194,-0.014038,-10.226440
605,295,10,0.451050,-0.005493,-10.221558
606,294,10,0.467529,-0.014038,-10.189209
607,293,10,0.411377,0.053711,-10.186768
606,294,10,0.474243,0.009155,-10.207520
606,294,10,0.397949,0.010986,-10.186768
606,294,10,0.424194,0.005493,-10.192871
607,293,10,0.485840,0.040894,-10.200806
607,293,10,0.467529,0.022583,-10.210571
607,293,10,0.447388,0.021973,-10.185547
607,293,10,0.413208,0.023193,-10.206909
607,293,10,0.437622,0.006104,-10.164185
607,293,10,0.472412,0.032959,-10.194092
607,293,10,0.494385,0.003052,-10.206909
608,292,11,0.453491,0.040283,-10.197754
607,293,11,0.478516,0.010376,-10.211792
607,293,11,0.430298,0.026855,-10.147095
607,293,11,0.433350,0.015259,-10.215454
607,293,11,0.470581,0.035400,-10.234985
606,294,11,0.428467,0.050049,-10.231323
605,295,11,0.464478,0.010986,-10.217285
604,296,11,0.436401,0.032349,-10.222168
603,297,11,0.439453,0.027466,-10.203247
602,298,11,0.446777,-0.004272,-10.204468
602,298,11,0.465088,0.034790,-10.190430
601,299,11,0.433960,0.018921,-10.161743
600,300,11,0.456543,0.051270,-10.202026
598,302,11,0.451660,0.031738,-10.229492
596,304,11,0.457764,0.044556,-10.206909
594,306,11,0.501099,-0.014038,-10.200195
594,306,11,0.417480,0.029907,-10.190430
593,307,11,0.405884,0.042114,-10.227661
591,309,11,0.446167,0.064087,-10.222778
589,311,11,0.450439,0.004883,-10.204468
588,312,11,0.395508,0.020142,-10.202026
587,313,11,0.419312,0.057373,-10.196533
585,315,11,0.468750,0.014038,-10.203247
584,316,11,0.444946,0.007324,-10.187378
583,317,11,0.421753,0.041504,-10.170288
581,319,11,0.458374,0.036011,-10.205078
579,321,11,0.461426,0.006714,-10.234985
578,322,11,0.396729,0.026855,-10.198975
576,324,11,0.456543,0.026245,-10.202026
574,326,11,0.446777,0.009155,-10.210571
573,327,11,0.419312,0.009766,-10.202637
572,328,11,0.452271,-0.013428,-10.164185
572,328,11,0.440063,-0.007935,-10.249634
573,327,11,0.433350,0.022583,-10.208130
573,327,11,0.435791,-0.011597,-10.187988
574,326,11,0.403442,0.017090,-10.186157
575,325,11,0.481567,-0.051880,-10.159302
577,323,11,0.465698,-0.021973,-10.159912
578,322,11,0.452271,-0.023193,-10.207520
579,321,11,0.408325,-0.020142,-10.206299
580,320,12,0.415649,0.001221,-10.209351
581,319,12,0.432739,0.006714,-10.206299
582,318,12,0.446777,-0.019531,-10.191040
583,317,12,0.439453,0.004272,-10.206909
584,316,12,0.442505,0.004883,-10.234375
585,315,12,0.505981,-0.043945,-10.213623
587,313,12,0.444946,0.026855,-10.235596
587,313,12,0.433350,0.007324,-10.230713
588,312,12,0.440674,0.031128,-10.234375
588,312,12,0.429688,0.006104,-10.210571
589,311,12,0.397339,0.001831,-10.182495
590,310,12,0.470581,0.012207,-10.230103
591,309,12,0.482178,0.015869,-10.224609
592,308,12,0.438232,0.004883,-10.190430
593,307,12,0.405273,0.014648,-10.216675
594,306,12,0.430908,0.037231,-10.247192
594,306,12,0.443726,0.030518,-10.250854
