left,right,x,y,z,,,dy
590,310,0.489502,0.071411,-10.269775,,,0.013428
587,313,0.496216,-0.037231,-10.265503,,,-0.108642
588,312,0.476685,-0.004272,-10.241089,,,0.032959
589,311,0.493164,0.055542,-10.26062,,,0.059814
588,312,0.479126,-0.061035,-10.328979,,,-0.116577
590,310,0.512695,0.042725,-10.256348,,,0.10376
590,310,0.481567,0.062866,-10.31189,,,0.020141
588,312,0.422363,-0.072632,-10.056763,,,-0.135498
590,310,0.310059,-0.084229,-10.058594,,,-0.011597
593,307,0.349121,-0.004883,-9.897461,,,0.079346
594,306,0.293579,0.049438,-9.980469,,,0.054321
593,307,0.372925,0.067139,-10.10376,,,0.017701
591,309,0.411377,0.005493,-10.326538,,,-0.061646
591,309,0.373535,0.081787,-10.244141,,,0.076294
588,312,0.400391,0.003052,-10.098877,,,-0.078735
587,313,0.356445,0.030518,-10.125122,,,0.027466
585,315,0.466309,0.158081,-10.109863,,,0.127563
581,319,0.463867,0.049438,-10.155029,,,-0.108643
579,321,0.494995,-0.019531,-10.236816,,,-0.068969
579,321,0.392456,-0.019531,-10.237427,,,0
580,320,0.466919,-0.048218,-10.229492,,,-0.028687
582,318,0.466919,0.05188,-10.344238,,,0.100098
581,319,0.540771,0.006104,-10.316162,,,-0.045776
581,319,0.407104,0.003662,-10.216064,,,-0.002442
582,318,0.480347,0,-10.158081,,,-0.003662
583,317,0.405884,-0.131226,-10.160522,,,-0.131226
587,313,0.375366,-0.003052,-10.20874,,,0.128174
588,312,0.436401,0.012817,-10.018921,,,0.015869
589,311,0.324097,0.065918,-9.996338,,,0.053101
588,312,0.435181,0.070801,-9.971924,,,0.004883
586,314,0.443115,0.010376,-10.181274,,,-0.060425
585,315,0.39978,0.076294,-10.251465,,,0.065918
582,318,0.481567,0.021973,-10.314941,,,-0.054321
580,320,0.390625,0.020752,-10.228882,,,-0.001221
578,322,0.510254,0.085449,-10.220337,,,0.064697
575,325,0.463867,0.007935,-10.22583,,,-0.077514
574,326,0.489502,-0.06897,-10.22644,,,-0.076905
576,324,0.430298,-0.045776,-10.153198,,,0.023194
578,322,0.52063,-0.063477,-10.346069,,,-0.017701
580,320,0.498047,0.022583,-10.301514,,,0.08606
580,320,0.443115,-0.008545,-10.217285,,,-0.031128
581,319,0.391846,-0.073853,-10.145874,,,-0.065308
583,317,0.360718,0.001831,-10.011597,,,0.075684
584,316,0.352173,-0.030518,-10.250854,,,-0.032349
586,314,0.392456,0.056152,-10.177612,,,0.08667
585,315,0.519409,0.05249,-10.318604,,,-0.003662
583,317,0.413818,0.041504,-10.114746,,,-0.010986
581,319,0.505371,0.060425,-10.071411,,,0.018921
579,321,0.444336,0.040894,-10.12207,,,-0.019531
577,323,0.482178,0.027466,-10.213623,,,-0.013428
575,325,0.545044,0.039673,-10.355835,,,0.012207
573,327,0.509644,-0.014648,-10.358276,,,-0.054321
573,327,0.552979,0.020752,-10.290527,,,0.0354
572,328,0.471802,-0.021362,-10.198975,,,-0.042114
573,327,0.490112,-0.054321,-10.227661,,,-0.032959
575,325,0.444336,-0.03418,-10.181274,,,0.020141
577,323,0.413208,-0.057373,-10.209961,,,-0.023193
579,321,0.397949,-0.064087,-10.152588,,,-0.006714
581,319,0.46814,-0.019531,-10.181274,,,0.044556
582,318,0.378418,-0.081787,-10.154419,,,-0.062256
585,315,0.404053,-0.006714,-10.171509,,,0.075073
586,314,0.345459,0.006104,-9.935303,,,0.012818
587,313,0.467529,0.004272,-10.285645,,,-0.001832
588,312,0.43335,0.029907,-10.264893,,,0.025635
588,312,0.534668,0.012817,-10.497437,,,-0.01709
589,311,0.539551,0.0354,-10.446167,,,0.022583
589,311,0.545044,0.053101,-10.142212,,,0.017701
588,312,0.455322,-0.010376,-10.20813,,,-0.063477
589,311,0.522461,0.05188,-10.107422,,,0.062256
588,312,0.471802,-0.010376,-10.287476,,,-0.062256
589,311,0.507812,-0.033569,-10.282593,,,-0.023193
591,309,0.418091,0.073242,-10.265503,,,0.106811
589,311,0.509644,-0.061646,-10.210571,,,-0.134888
591,309,0.421753,0.015869,-10.160522,,,0.077515
592,308,0.465088,-0.03418,-10.178833,,,-0.050049
594,306,0.408936,0.011597,-10.122681,,,0.045777
595,305,0.441284,0.026245,-10.102539,,,0.014648
595,305,0.420532,-0.001221,-10.144653,,,-0.027466
596,304,0.46936,0.08667,-10.310669,,,0.087891
594,306,0.491333,0.038452,-10.310059,,,-0.048218
592,308,0.456543,-0.026245,-10.176392,,,-0.064697
593,307,0.421753,0.007324,-10.005493,,,0.033569
593,307,0.425415,-0.022583,-10.286865,,,-0.029907
594,306,0.475464,0.020752,-10.396118,,,0.043335
594,306,0.418701,-0.020142,-10.450439,,,-0.040894
595,305,0.418701,-0.089722,-10.282593,,,-0.06958
598,302,0.413208,-0.013428,-10.0177,,,0.076294
599,301,0.371704,-0.043945,-10.126953,,,-0.030517
601,299,0.469971,-0.043335,-10.107422,,,0.00061
603,297,0.404663,0.060425,-10.181885,,,0.10376
602,298,0.426636,-0.045166,-10.20752,,,-0.105591
604,296,0.385132,0.030518,-10.178223,,,0.075684
604,296,0.476074,0.022583,-10.247192,,,-0.007935
604,296,0.379639,0.029907,-10.124512,,,0.007324
604,296,0.498047,0.064697,-10.248413,,,0.03479
602,298,0.488281,0.037231,-10.307007,,,-0.027466
600,300,0.539551,0.009155,-10.336914,,,-0.028076
599,301,0.512695,0.010376,-10.39978,,,0.001221
598,302,0.50415,-0.061035,-10.12085,,,-0.071411
600,300,0.391846,-0.007935,-10.118408,,,0.0531
601,299,0.432739,-0.014038,-9.926147,,,-0.006103
602,298,0.305786,-0.012207,-10.064087,,,0.001831
603,297,0.39856,0.036621,-10.100098,,,0.048828
603,297,0.367432,0.005493,-10.211182,,,-0.031128
604,296,0.357056,0.020142,-10.187988,,,0.014649
604,296,0.432739,0.101929,-10.050049,,,0.081787
601,299,0.374756,0.029297,-10.023193,,,-0.072632
599,301,0.422974,0.081177,-10.004272,,,0.05188
596,304,0.461426,0.070801,-10.12207,,,-0.010376
593,307,0.485229,0.012207,-10.297241,,,-0.058594
592,308,0.424805,0.024414,-10.321655,,,0.012207
590,310,0.492554,0.029907,-10.367432,,,0.005493
588,312,0.484619,0.026855,-10.263062,,,-0.003052
586,314,0.502319,-0.004272,-10.197754,,,-0.031127
585,315,0.473633,-0.039673,-10.206299,,,-0.035401
586,314,0.443726,0.040894,-10.192871,,,0.080567
585,315,0.494995,-0.043335,-10.187378,,,-0.084229
587,313,0.424805,-0.023193,-10.167236,,,0.020142
588,312,0.453491,0.031128,-10.20752,,,0.054321
588,312,0.413818,-0.040283,-10.137939,,,-0.071411
590,310,0.474854,0.00061,-10.132446,,,0.040893
591,309,0.397949,0.015259,-10.140381,,,0.014649
592,308,0.429688,0.010376,-10.181885,,,-0.004883
593,307,0.447388,0.067749,-10.209351,,,0.057373
592,308,0.493774,0.038452,-10.206299,,,-0.029297
591,309,0.43457,0.071411,-10.205688,,,0.032959
588,312,0.483398,0.018921,-10.234985,,,-0.05249
587,313,0.435791,0.002441,-10.216675,,,-0.01648
586,314,0.490112,0.036011,-10.263062,,,0.03357
584,316,0.372314,-0.010986,-10.166626,,,-0.046997
584,316,0.482788,0.023193,-10.194702,,,0.034179
583,317,0.39978,-0.002441,-10.274658,,,-0.025634
583,317,0.464478,-0.012207,-10.179443,,,-0.009766
584,316,0.441895,-0.014648,-10.233765,,,-0.002441
585,315,0.473022,-0.025024,-10.192261,,,-0.010376
586,314,0.446777,-0.005493,-10.197144,,,0.019531
587,313,0.482788,0.010986,-10.19043,,,0.016479
588,312,0.426025,0.010986,-10.186157,,,0
589,311,0.43396,0.040894,-10.199585,,,0.029908
589,311,0.46875,0.021973,-10.139771,,,-0.018921
589,311,0.444946,0.029907,-10.206299,,,0.007934
589,311,0.43396,0.039673,-10.206909,,,0.009766
588,312,0.43457,0.011597,-10.180664,,,-0.028076
588,312,0.478516,0.025635,-10.248413,,,0.014038
587,313,0.443115,0.002441,-10.234375,,,-0.023194
587,313,0.454712,-0.031738,-10.166626,,,-0.034179
589,311,0.446167,0.039673,-10.214844,,,0.071411
589,311,0.463257,0.06897,-10.217896,,,0.029297
587,313,0.41687,-0.01709,-10.201416,,,-0.08606
588,312,0.440674,-0.012817,-10.206909,,,0.004273
589,311,0.438232,-0.001831,-10.249634,,,0.010986
590,310,0.48645,0.028076,-10.212402,,,0.029907
590,310,0.484009,0.031738,-10.213013,,,0.003662
590,310,0.440674,-0.002441,-10.20874,,,-0.034179
591,309,0.432739,0.026245,-10.236816,,,0.028686
591,309,0.424194,-0.020752,-10.222168,,,-0.046997
592,308,0.45166,-0.008545,-10.268555,,,0.012207
593,307,0.467529,-0.002441,-10.234985,,,0.006104
594,306,0.474243,-0.049438,-10.198364,,,-0.046997
596,304,0.392456,0.031738,-10.170898,,,0.081176
596,304,0.428467,-0.012817,-10.252075,,,-0.044555
597,303,0.496216,0.044556,-10.200806,,,0.057373
597,303,0.45166,0.029297,-10.174561,,,-0.015259
597,303,0.439453,-0.003052,-10.198364,,,-0.032349
598,302,0.479126,0.032349,-10.217896,,,0.035401
598,302,0.438232,-0.015259,-10.202026,,,-0.047608
599,301,0.45166,0.009155,-10.234375,,,0.024414
600,300,0.43396,-0.005493,-10.199585,,,-0.014648
601,299,0.445557,0.014648,-10.200806,,,0.020141
602,298,0.415649,0.00061,-10.182495,,,-0.014038
603,297,0.458374,0.055542,-10.161133,,,0.054932
602,298,0.432129,-0.003662,-10.197754,,,-0.059204
603,297,0.438232,0.046997,-10.195923,,,0.050659
602,298,0.447998,0,-10.213623,,,-0.046997
603,297,0.41626,0.028687,-10.204468,,,0.028687
603,297,0.491333,-0.020142,-10.17334,,,-0.048829
604,296,0.424194,-0.014038,-10.22644,,,0.006104
605,295,0.45105,-0.005493,-10.221558,,,0.008545
606,294,0.467529,-0.014038,-10.189209,,,-0.008545
607,293,0.411377,0.053711,-10.186768,,,0.067749
606,294,0.474243,0.009155,-10.20752,,,-0.044556
606,294,0.397949,0.010986,-10.186768,,,0.001831
606,294,0.424194,0.005493,-10.192871,,,-0.005493
607,293,0.48584,0.040894,-10.200806,,,0.035401
607,293,0.467529,0.022583,-10.210571,,,-0.018311
607,293,0.447388,0.021973,-10.185547,,,-0.00061
607,293,0.413208,0.023193,-10.206909,,,0.00122
607,293,0.437622,0.006104,-10.164185,,,-0.017089
607,293,0.472412,0.032959,-10.194092,,,0.026855
607,293,0.494385,0.003052,-10.206909,,,-0.029907
608,292,0.453491,0.040283,-10.197754,,,0.037231
607,293,0.478516,0.010376,-10.211792,,,-0.029907
607,293,0.430298,0.026855,-10.147095,,,0.016479
607,293,0.43335,0.015259,-10.215454,,,-0.011596
607,293,0.470581,0.0354,-10.234985,,,0.020141
606,294,0.428467,0.050049,-10.231323,,,0.014649
605,295,0.464478,0.010986,-10.217285,,,-0.039063
604,296,0.436401,0.032349,-10.222168,,,0.021363
603,297,0.439453,0.027466,-10.203247,,,-0.004883
602,298,0.446777,-0.004272,-10.204468,,,-0.031738
602,298,0.465088,0.03479,-10.19043,,,0.039062
601,299,0.43396,0.018921,-10.161743,,,-0.015869
600,300,0.456543,0.05127,-10.202026,,,0.032349
598,302,0.45166,0.031738,-10.229492,,,-0.019532
596,304,0.457764,0.044556,-10.206909,,,0.012818
594,306,0.501099,-0.014038,-10.200195,,,-0.058594
594,306,0.41748,0.029907,-10.19043,,,0.043945
593,307,0.405884,0.042114,-10.227661,,,0.012207
591,309,0.446167,0.064087,-10.222778,,,0.021973
589,311,0.450439,0.004883,-10.204468,,,-0.059204
588,312,0.395508,0.020142,-10.202026,,,0.015259
587,313,0.419312,0.057373,-10.196533,,,0.037231
585,315,0.46875,0.014038,-10.203247,,,-0.043335
584,316,0.444946,0.007324,-10.187378,,,-0.006714
583,317,0.421753,0.041504,-10.170288,,,0.03418
581,319,0.458374,0.036011,-10.205078,,,-0.005493
579,321,0.461426,0.006714,-10.234985,,,-0.029297
578,322,0.396729,0.026855,-10.198975,,,0.020141
576,324,0.456543,0.026245,-10.202026,,,-0.00061
574,326,0.446777,0.009155,-10.210571,,,-0.01709
573,327,0.419312,0.009766,-10.202637,,,0.000611
572,328,0.452271,-0.013428,-10.164185,,,-0.023194
572,328,0.440063,-0.007935,-10.249634,,,0.005493
573,327,0.43335,0.022583,-10.20813,,,0.030518
573,327,0.435791,-0.011597,-10.187988,,,-0.03418
574,326,0.403442,0.01709,-10.186157,,,0.028687
575,325,0.481567,-0.05188,-10.159302,,,-0.06897
577,323,0.465698,-0.021973,-10.159912,,,0.029907
578,322,0.452271,-0.023193,-10.20752,,,-0.00122
579,321,0.408325,-0.020142,-10.206299,,,0.003051
580,320,0.415649,0.001221,-10.209351,,,0.021363
581,319,0.432739,0.006714,-10.206299,,,0.005493
582,318,0.446777,-0.019531,-10.19104,,,-0.026245
